Student_ID,Degree_ID,Intake,Gender,Current_Year,Current_Semester,Previous_SGPA,Current_SGPA,Repeated_Courses,Next_SGPA
S0100,D001,39,Female,2,4,3.5875,3.9471,0,3.525
S0100,D001,39,Female,3,5,3.9471,3.525,0,3.764
S0100,D001,39,Female,3,6,3.525,3.764,0,3.75
S0101,D002,41,Female,1,2,3.1824,2.9125,0,2.525
S0105,D002,40,Female,1,2,3.8824,3.775,0,3.875
S0105,D002,40,Female,2,3,3.775,3.875,0,3.8235
S0105,D002,40,Female,2,4,3.875,3.8235,0,3.8333
S0107,D003,41,Female,1,2,3.4588,3.65,0,3.54
S0107,D003,41,Female,2,3,3.65,3.54,0,3.0588
S0109,D001,41,Female,1,2,2.0765,1.7188,3,1.9625
S0109,D001,41,Female,2,3,1.7188,1.9625,7,1.7588
S0110,D005,41,Male,1,2,2.6941,2.9562,0,3.1842
S0111,D005,41,Male,1,2,3.7059,3.5188,0,3.4684
S0113,D001,40,Male,1,2,3.7941,3.9562,0,3.75
S0113,D001,40,Male,2,3,3.9562,3.75,0,3.9647
S0113,D001,40,Male,2,4,3.75,3.9647,0,3.775
S0113,D001,40,Male,3,5,3.9647,3.775,0,3.928
S0114,D003,40,Female,1,2,3.5353,3.5722,0,3.48
S0114,D003,40,Female,2,3,3.5722,3.48,0,3.6235
S0114,D003,40,Female,2,4,3.48,3.6235,0,3.376
S0115,D003,41,Male,1,2,2.4,2.8278,0,2.2933
S0116,D005,41,Male,1,2,4.0,4.0,0,3.7842
S0116,D005,41,Male,2,3,4.0,3.7842,0,4.0
S0117,D004,40,Female,1,2,2.6385,3.1882,0,3.08
S0117,D004,40,Female,2,3,3.1882,3.08,0,3.3636
S0117,D004,40,Female,2,4,3.08,3.3636,0,3.4211
S0118,D005,40,Male,1,2,2.9118,3.2812,0,2.8842
S0118,D005,40,Male,2,3,3.2812,2.8842,0,3.5875
S0118,D005,40,Male,2,4,2.8842,3.5875,0,2.6214
S0120,D004,41,Male,1,2,4.0,4.0,0,4.0
S0120,D004,41,Male,2,3,4.0,4.0,0,3.8182
S0123,D001,41,Male,1,2,3.6529,3.475,0,3.675
S0129,D005,40,Male,1,2,3.0882,3.5875,0,3.4947
S0129,D005,40,Male,2,3,3.5875,3.4947,0,3.0687
S0129,D005,40,Male,2,4,3.4947,3.0687,0,3.7929
S0129,D005,40,Male,3,5,3.0687,3.7929,0,4.0
S0130,D001,41,Female,1,2,3.5706,3.825,0,3.65
S0131,D001,41,Male,1,2,2.9941,2.925,0,2.9125
S0132,D005,40,Female,1,2,3.9294,3.8125,0,3.9211
S0132,D005,40,Female,2,3,3.8125,3.9211,0,3.5062
S0132,D005,40,Female,2,4,3.9211,3.5062,0,4.0
S0132,D005,40,Female,3,5,3.5062,4.0,0,4.0
S0133,D005,41,Male,1,2,3.7941,4.0,0,3.8579
S0133,D005,41,Male,2,3,4.0,3.8579,0,3.425
S0136,D002,40,Female,1,2,3.7529,3.7312,0,3.8375
S0136,D002,40,Female,2,3,3.7312,3.8375,0,3.5059
S0136,D002,40,Female,2,4,3.8375,3.5059,0,3.5667
S0139,D002,41,Male,1,2,3.1588,3.2312,0,2.625
S0139,D002,41,Male,2,3,3.2312,2.625,0,3.4
S0142,D005,39,Male,1,2,3.5412,3.2562,0,3.7
S0142,D005,39,Male,2,3,3.2562,3.7,0,3.6188
S0142,D005,39,Male,2,4,3.7,3.6188,0,3.85
S0142,D005,39,Male,3,5,3.6188,3.85,0,4.0
S0142,D005,39,Male,3,6,3.85,4.0,0,3.4292
S0142,D005,39,Male,4,7,4.0,3.4292,0,3.8133
S0143,D003,41,Male,1,2,3.7824,3.9667,0,3.56
S0144,D002,41,Female,1,2,3.9118,3.7125,0,3.325
S0146,D003,39,Male,1,2,3.4941,3.3,0,3.6067
S0146,D003,39,Male,2,3,3.3,3.6067,0,3.7765
S0146,D003,39,Male,2,4,3.6067,3.7765,0,3.304
S0146,D003,39,Male,3,5,3.7765,3.304,0,3.5957
S0146,D003,39,Male,3,6,3.304,3.5957,0,3.6762
S0148,D001,39,Female,1,2,3.1824,3.4688,0,3.55
S0148,D001,39,Female,2,3,3.4688,3.55,0,3.2118
S0148,D001,39,Female,2,4,3.55,3.2118,0,3.1667
S0148,D001,39,Female,3,5,3.2118,3.1667,0,3.624
S0148,D001,39,Female,3,6,3.1667,3.624,0,3.3875
S0148,D001,39,Female,4,7,3.624,3.3875,0,3.7
S0149,D002,40,Male,1,2,3.3176,2.6438,0,3.2
S0149,D002,40,Male,2,3,2.6438,3.2,0,3.0882
S0149,D002,40,Male,2,4,3.2,3.0882,0,3.0333
S0150,D004,41,Male,1,2,3.7846,3.7588,0,3.8133
S0151,D005,40,Male,1,2,3.9471,3.8688,0,3.7789
S0151,D005,40,Male,2,3,3.8688,3.7789,0,3.9125
S0151,D005,40,Male,2,4,3.7789,3.9125,0,4.0
S0153,D002,39,Male,1,2,3.5647,3.6188,0,3.5875
S0153,D002,39,Male,2,3,3.6188,3.5875,0,3.3647
S0153,D002,39,Male,2,4,3.5875,3.3647,0,3.275
S0153,D002,39,Male,3,5,3.3647,3.275,0,3.5192
S0153,D002,39,Male,3,6,3.275,3.5192,0,3.3333
S0155,D002,41,Male,1,2,2.9765,3.3312,0,3.2125
S0156,D002,40,Male,1,2,3.7941,3.7875,0,3.6375
S0156,D002,40,Male,2,3,3.7875,3.6375,0,3.7588
S0156,D002,40,Male,2,4,3.6375,3.7588,0,3.5833
S0156,D002,40,Male,3,5,3.7588,3.5833,0,3.6423
S0158,D001,41,Female,1,2,2.5176,3.075,0,2.65
S0159,D001,39,Female,1,2,3.5471,3.375,0,2.975
S0159,D001,39,Female,2,3,3.375,2.975,0,2.9824
S0159,D001,39,Female,2,4,2.975,2.9824,0,3.1333
S0159,D001,39,Female,3,5,2.9824,3.1333,0,3.456
S0159,D001,39,Female,3,6,3.1333,3.456,0,3.2875
S0159,D001,39,Female,4,7,3.456,3.2875,0,3.0
S0160,D004,40,Male,1,2,2.8538,3.0882,0,2.94
S0160,D004,40,Male,2,3,3.0882,2.94,1,2.5364
S0160,D004,40,Male,2,4,2.94,2.5364,2,2.5632
S0162,D001,41,Male,1,2,3.1353,3.3,0,3.5875
S0162,D001,41,Male,2,3,3.3,3.5875,0,3.3294
S0165,D003,40,Male,1,2,3.3235,2.7111,0,3.4733
S0165,D003,40,Male,2,3,2.7111,3.4733,0,2.4059
S0165,D003,40,Male,2,4,3.4733,2.4059,0,2.58
S0165,D003,40,Male,3,5,2.4059,2.58,0,3.0304
S0167,D004,40,Male,1,2,3.0385,2.9176,0,3.1133
S0167,D004,40,Male,2,3,2.9176,3.1133,0,3.0636
S0167,D004,40,Male,2,4,3.1133,3.0636,0,3.1526
S0168,D001,39,Female,1,2,3.9647,3.8688,0,3.9625
S0168,D001,39,Female,2,3,3.8688,3.9625,0,3.3529
S0168,D001,39,Female,2,4,3.9625,3.3529,1,3.5583
S0168,D001,39,Female,3,5,3.3529,3.5583,2,3.696
S0168,D001,39,Female,3,6,3.5583,3.696,3,3.8375
S0168,D001,39,Female,4,7,3.696,3.8375,4,4.0
S0169,D003,40,Male,1,2,3.7412,3.5,0,3.92
S0169,D003,40,Male,2,3,3.5,3.92,0,3.6353
S0169,D003,40,Male,2,4,3.92,3.6353,0,3.608
S0169,D003,40,Male,3,5,3.6353,3.608,0,3.4522
S0170,D001,41,Female,1,2,3.5706,3.6812,0,3.8875
S0170,D001,41,Female,2,3,3.6812,3.8875,0,4.0
S0172,D005,41,Male,1,2,3.5941,3.5062,0,3.5632
S0172,D005,41,Male,2,3,3.5062,3.5632,0,2.975
S0174,D002,41,Female,1,2,3.9471,4.0,0,4.0
S0174,D002,41,Female,2,3,4.0,4.0,0,4.0
S0175,D001,41,Male,1,2,4.0,3.925,0,3.9625
S0176,D001,40,Female,1,2,3.6176,3.725,0,3.9625
S0176,D001,40,Female,2,3,3.725,3.9625,0,3.7353
S0176,D001,40,Female,2,4,3.9625,3.7353,0,3.5833
S0176,D001,40,Female,3,5,3.7353,3.5833,0,3.648
S0178,D002,41,Male,1,2,4.0,3.9625,0,3.925
S0179,D001,41,Male,1,2,3.4706,3.3625,0,3.625
S0179,D001,41,Male,2,3,3.3625,3.625,0,3.7588
S0180,D002,39,Male,1,2,2.9294,3.5062,0,3.0
S0180,D002,39,Male,2,3,3.5062,3.0,0,3.6059
S0180,D002,39,Male,2,4,3.0,3.6059,0,2.95
S0180,D002,39,Male,3,5,3.6059,2.95,0,3.0423
S0180,D002,39,Male,3,6,2.95,3.0423,0,2.9111
S0180,D002,39,Male,4,7,3.0423,2.9111,0,2.22
S0181,D004,39,Male,1,2,3.3,3.4294,0,3.24
S0181,D004,39,Male,2,3,3.4294,3.24,0,3.6909
S0181,D004,39,Male,2,4,3.24,3.6909,0,3.4737
S0181,D004,39,Male,3,5,3.6909,3.4737,0,3.5238
S0181,D004,39,Male,3,6,3.4737,3.5238,0,3.4308
S0181,D004,39,Male,4,7,3.5238,3.4308,0,4.0
S0184,D002,40,Male,1,2,3.8941,3.9812,0,3.7875
S0184,D002,40,Male,2,3,3.9812,3.7875,0,3.8647
S0184,D002,40,Male,2,4,3.7875,3.8647,0,3.8333
S0184,D002,40,Male,3,5,3.8647,3.8333,0,3.9115
S0185,D001,40,Male,1,2,3.9294,3.7438,0,3.75
S0185,D001,40,Male,2,3,3.7438,3.75,0,3.6529
S0185,D001,40,Male,2,4,3.75,3.6529,0,3.8
S0185,D001,40,Male,3,5,3.6529,3.8,0,3.756
S0186,D001,40,Male,1,2,3.8647,4.0,0,4.0
S0186,D001,40,Male,2,3,4.0,4.0,0,4.0
S0186,D001,40,Male,2,4,4.0,4.0,0,3.8083
S0188,D002,41,Female,1,2,3.2118,4.0,0,3.4625
S0190,D001,41,Male,1,2,2.5471,2.2562,1,2.4625
S0191,D001,41,Female,1,2,3.5353,3.175,0,3.425
S0192,D004,41,Female,1,2,3.0,2.2706,0,2.3933
S0192,D004,41,Female,2,3,2.2706,2.3933,0,2.8818
S0193,D003,39,Female,1,2,3.7471,3.8,0,3.7667
S0193,D003,39,Female,2,3,3.8,3.7667,0,3.6824
S0193,D003,39,Female,2,4,3.7667,3.6824,0,3.748
S0193,D003,39,Female,3,5,3.6824,3.748,0,3.6522
S0193,D003,39,Female,3,6,3.748,3.6522,0,3.7381
S0194,D003,40,Male,1,2,3.5588,3.7056,0,3.3667
S0194,D003,40,Male,2,3,3.7056,3.3667,0,3.3353
S0194,D003,40,Male,2,4,3.3667,3.3353,0,3.172
S0194,D003,40,Male,3,5,3.3353,3.172,0,3.5043
S0195,D002,41,Male,1,2,3.3647,2.8625,0,3.4625
S0195,D002,41,Male,2,3,2.8625,3.4625,0,2.6176
S0197,D005,41,Male,1,2,2.6235,2.6688,0,2.5368
S0198,D001,40,Male,1,2,3.4235,3.4062,0,3.5125
S0198,D001,40,Male,2,3,3.4062,3.5125,0,3.3529
S0198,D001,40,Male,2,4,3.5125,3.3529,0,3.8917
S0200,D002,40,Male,1,2,3.8118,3.3438,0,3.6625
S0200,D002,40,Male,2,3,3.3438,3.6625,0,3.8765
S0200,D002,40,Male,2,4,3.6625,3.8765,0,3.7833
S0201,D001,41,Female,1,2,3.8471,3.9812,0,3.8375
S0201,D001,41,Female,2,3,3.9812,3.8375,0,3.8765
S0205,D005,41,Male,1,2,3.7471,3.1062,0,3.2474
S0207,D003,41,Male,1,2,3.9294,3.5611,0,3.9
S0208,D001,40,Male,1,2,3.8235,4.0,0,4.0
S0208,D001,40,Male,2,3,4.0,4.0,0,3.9647
S0208,D001,40,Male,2,4,4.0,3.9647,0,3.975
S0208,D001,40,Male,3,5,3.9647,3.975,0,4.0
S0209,D004,40,Female,1,2,3.1154,2.6118,0,3.8267
S0209,D004,40,Female,2,3,2.6118,3.8267,0,3.3909
S0209,D004,40,Female,2,4,3.8267,3.3909,0,3.2684
S0211,D001,40,Male,1,2,3.4471,3.85,0,3.7125
S0211,D001,40,Male,2,3,3.85,3.7125,0,3.7412
S0211,D001,40,Male,2,4,3.7125,3.7412,0,3.4833
S0212,D004,41,Female,1,2,3.9,3.4824,0,3.8667
S0212,D004,41,Female,2,3,3.4824,3.8667,0,3.1818
S0213,D005,40,Female,1,2,3.6294,3.5125,0,3.1526
S0213,D005,40,Female,2,3,3.5125,3.1526,0,2.95
S0213,D005,40,Female,2,4,3.1526,2.95,0,3.0714
S0213,D005,40,Female,3,5,2.95,3.0714,0,4.0
S0214,D003,41,Female,1,2,3.4,3.5722,0,3.3667
S0214,D003,41,Female,2,3,3.5722,3.3667,0,3.6647
S0215,D005,41,Male,1,2,3.4235,3.4938,0,3.8632
S0215,D005,41,Male,2,3,3.4938,3.8632,0,3.5562
S0222,D005,39,Female,1,2,3.0353,2.525,0,2.7316
S0222,D005,39,Female,2,3,2.525,2.7316,0,2.8562
S0222,D005,39,Female,2,4,2.7316,2.8562,0,3.1071
S0222,D005,39,Female,3,5,2.8562,3.1071,0,3.0
S0222,D005,39,Female,3,6,3.1071,3.0,0,2.9667
S0224,D005,39,Male,1,2,2.6176,3.2312,2,3.3632
S0224,D005,39,Male,2,3,3.2312,3.3632,3,2.7188
S0224,D005,39,Male,2,4,3.3632,2.7188,4,3.0214
S0224,D005,39,Male,3,5,2.7188,3.0214,5,2.3
S0224,D005,39,Male,3,6,3.0214,2.3,6,2.7042
S0224,D005,39,Male,4,7,2.3,2.7042,7,2.9733
S0225,D005,41,Male,1,2,3.5824,3.9062,0,3.8737
S0226,D004,40,Male,1,2,3.2615,2.4,0,2.74
S0226,D004,40,Male,2,3,2.4,2.74,0,3.1909
S0226,D004,40,Male,2,4,2.74,3.1909,0,2.7947
S0229,D004,40,Male,1,2,3.4538,3.3412,0,3.6
S0229,D004,40,Male,2,3,3.3412,3.6,0,3.7455
S0229,D004,40,Male,2,4,3.6,3.7455,0,3.8158
S0231,D005,40,Male,1,2,3.9471,4.0,0,3.9684
S0231,D005,40,Male,2,3,4.0,3.9684,0,4.0
S0231,D005,40,Male,2,4,3.9684,4.0,0,4.0
S0231,D005,40,Male,3,5,4.0,4.0,0,4.0
S0234,D002,41,Male,1,2,3.9824,4.0,0,3.9625
S0235,D003,40,Male,1,2,2.5176,2.65,0,2.7867
S0235,D003,40,Male,2,3,2.65,2.7867,0,2.8412
S0235,D003,40,Male,2,4,2.7867,2.8412,0,2.764
S0235,D003,40,Male,3,5,2.8412,2.764,0,3.0609
S0236,D005,40,Male,1,2,3.8412,3.9062,0,3.7
S0236,D005,40,Male,2,3,3.9062,3.7,0,3.6938
S0236,D005,40,Male,2,4,3.7,3.6938,0,3.9143
S0236,D005,40,Male,3,5,3.6938,3.9143,0,4.0
S0238,D005,40,Male,1,2,3.2529,2.9688,0,3.5526
S0238,D005,40,Male,2,3,2.9688,3.5526,0,3.2188
S0238,D005,40,Male,2,4,3.5526,3.2188,0,3.3071
S0239,D001,41,Male,1,2,3.6647,3.4375,0,3.75
S0239,D001,41,Male,2,3,3.4375,3.75,0,3.3235
S0240,D003,40,Male,1,2,3.8412,3.8333,0,3.7467
S0240,D003,40,Male,2,3,3.8333,3.7467,0,3.8235
S0240,D003,40,Male,2,4,3.7467,3.8235,0,3.484
S0241,D004,39,Male,1,2,3.6538,3.8294,0,3.7067
S0241,D004,39,Male,2,3,3.8294,3.7067,0,3.6364
S0241,D004,39,Male,2,4,3.7067,3.6364,0,3.5789
S0241,D004,39,Male,3,5,3.6364,3.5789,0,3.4952
S0241,D004,39,Male,3,6,3.5789,3.4952,0,3.2769
S0241,D004,39,Male,4,7,3.4952,3.2769,0,3.7
S0242,D001,40,Male,1,2,3.5588,3.9062,0,3.6375
S0242,D001,40,Male,2,3,3.9062,3.6375,0,3.5235
S0242,D001,40,Male,2,4,3.6375,3.5235,0,3.75
S0243,D003,41,Male,1,2,3.0412,2.9333,0,3.1
S0244,D004,40,Male,1,2,3.7769,3.6176,0,3.5067
S0244,D004,40,Male,2,3,3.6176,3.5067,0,3.5727
S0244,D004,40,Male,2,4,3.5067,3.5727,0,3.5316
S0245,D002,39,Male,1,2,4.0,4.0,0,3.9625
S0245,D002,39,Male,2,3,4.0,3.9625,0,4.0
S0245,D002,39,Male,2,4,3.9625,4.0,0,4.0
S0245,D002,39,Male,3,5,4.0,4.0,0,3.9231
S0245,D002,39,Male,3,6,4.0,3.9231,0,4.0
S0247,D002,41,Male,1,2,2.6706,2.375,0,2.8
S0247,D002,41,Male,2,3,2.375,2.8,1,2.8118
S0250,D003,40,Male,1,2,2.9176,2.4722,1,2.6467
S0250,D003,40,Male,2,3,2.4722,2.6467,2,2.5412
S0250,D003,40,Male,2,4,2.6467,2.5412,4,2.492
S0250,D003,40,Male,3,5,2.5412,2.492,6,2.8261
S0252,D004,39,Male,1,2,4.0,4.0,0,4.0
S0252,D004,39,Male,2,3,4.0,4.0,0,3.9455
S0252,D004,39,Male,2,4,4.0,3.9455,0,3.9684
S0252,D004,39,Male,3,5,3.9455,3.9684,0,3.9714
S0252,D004,39,Male,3,6,3.9684,3.9714,0,4.0
S0253,D005,39,Male,1,2,3.6588,3.7938,0,3.4526
S0253,D005,39,Male,2,3,3.7938,3.4526,0,3.7812
S0253,D005,39,Male,2,4,3.4526,3.7812,0,3.6429
S0253,D005,39,Male,3,5,3.7812,3.6429,0,2.7
S0253,D005,39,Male,3,6,3.6429,2.7,0,3.8292
S0253,D005,39,Male,4,7,2.7,3.8292,0,3.5267
S0254,D004,41,Male,1,2,2.4462,2.6882,0,2.6667
S0254,D004,41,Male,2,3,2.6882,2.6667,0,2.4909
S0255,D002,40,Male,1,2,3.4588,3.0562,0,3.425
S0255,D002,40,Male,2,3,3.0562,3.425,0,3.1294
S0255,D002,40,Male,2,4,3.425,3.1294,0,3.3167
S0255,D002,40,Male,3,5,3.1294,3.3167,0,3.5038
