Result_ID,Student_ID,Course_Code,Academic_Year,Semester,Attempt,Marks,Grade,Grade_Point,Result_Status
R000107,S0011,CS11042,1,1,1,77,A,4.0,Pass
R000108,S0011,DL1132,1,1,1,67,B+,3.3,Pass
R000109,S0011,LS1052,1,1,1,89,A+,4.0,Pass
R000110,S0011,SE11012,1,1,1,83,A,4.0,Pass
R000111,S0012,CM11033,1,1,1,77,A,4.0,Pass
R000112,S0012,CM11102,1,1,1,67,B+,3.3,Pass
R000113,S0012,COE11013,1,1,1,77,A,4.0,Pass
R000114,S0012,CS11012,1,1,1,68,B+,3.3,Pass
R000115,S0012,CS11021,1,1,1,69,B+,3.3,Pass
R000116,S0012,CS11032,1,1,1,82,A,4.0,Pass
R000117,S0012,CS11042,1,1,1,81,A,4.0,Pass
R000118,S0012,DL1132,1,1,1,72,A-,3.7,Pass
R000119,S0012,LS1052,1,1,1,75,A,4.0,Pass
R000120,S0012,SE11012,1,1,1,82,A,4.0,Pass
R000121,S0013,CM11033,1,1,1,89,A+,4.0,Pass
R000122,S0013,CM11102,1,1,1,81,A,4.0,Pass
R000123,S0013,COE11013,1,1,1,50,C+,2.3,Pass
R000124,S0013,CS11012,1,1,1,48,C,2.0,Pass
R000125,S0013,CS11021,1,1,1,62,B,3.0,Pass
R000126,S0013,CS11032,1,1,1,35,D+,1.3,Pass
R000127,S0013,CS11042,1,1,1,58,B-,2.7,Pass
R000128,S0013,DL1132,1,1,1,47,C,2.0,Pass
R000129,S0013,LS1052,1,1,1,52,C+,2.3,Pass
R000130,S0013,SE11012,1,1,1,59,B-,2.7,Pass
R000131,S0014,CM11033,1,1,1,89,A+,4.0,Pass
R000132,S0014,CM11102,1,1,1,81,A,4.0,Pass
R000133,S0014,COE11013,1,1,1,62,B,3.0,Pass
R000134,S0014,CS11012,1,1,1,68,B+,3.3,Pass
R000135,S0014,CS11021,1,1,1,76,A,4.0,Pass
R000136,S0014,CS11032,1,1,1,72,A-,3.7,Pass
R000137,S0014,CS11042,1,1,1,69,B+,3.3,Pass
R000138,S0014,DL1132,1,1,1,64,B,3.0,Pass
R000139,S0014,LS1052,1,1,1,82,A,4.0,Pass
R000140,S0014,SE11012,1,1,1,74,A-,3.7,Pass
R000141,S0015,CM11033,1,1,1,73,A-,3.7,Pass
R000142,S0015,CM11102,1,1,1,66,B+,3.3,Pass
R000143,S0015,COE11013,1,1,1,57,B-,2.7,Pass
R000144,S0015,CS11012,1,1,1,52,C+,2.3,Pass
R000145,S0015,CS11021,1,1,1,35,D+,1.3,Pass
R000146,S0015,CS11032,1,1,1,64,B,3.0,Pass
R000147,S0015,CS11042,1,1,1,48,C,2.0,Pass
R000148,S0015,DL1132,1,1,1,66,B+,3.3,Pass
R000149,S0015,LS1052,1,1,1,77,A,4.0,Pass
R000150,S0015,SE11012,1,1,1,72,A-,3.7,Pass
R000151,S0016,CS11012,1,1,1,47,C,2.0,Pass
R000152,S0016,CS11021,1,1,1,52,C+,2.3,Pass
R000153,S0016,CS11042,1,1,1,46,C,2.0,Pass
R000154,S0016,DS11011,1,1,1,37,D+,1.3,Pass
R000155,S0016,DS11023,1,1,1,68,B+,3.3,Pass
R000156,S0016,DS11032,1,1,1,66,B+,3.3,Pass
R000157,S0016,LC1133,1,1,1,48,C,2.0,Pass
R000158,S0016,MF1122,1,1,1,45,C,2.0,Pass
R000159,S0017,CS11012,1,1,1,81,A,4.0,Pass
R000160,S0017,CS11021,1,1,1,79,A,4.0,Pass
R000161,S0017,CS11042,1,1,1,83,A,4.0,Pass
R000162,S0017,DS11011,1,1,1,58,B-,2.7,Pass
R000163,S0017,DS11023,1,1,1,92,A+,4.0,Pass
R000164,S0017,DS11032,1,1,1,77,A,4.0,Pass
R000165,S0017,LC1133,1,1,1,67,B+,3.3,Pass
R000166,S0017,MF1122,1,1,1,80,A,4.0,Pass
R000167,S0018,CS11012,1,1,1,46,C,2.0,Pass
R000168,S0018,CS11021,1,1,1,69,B+,3.3,Pass
R000169,S0018,CS11042,1,1,1,63,B,3.0,Pass
R000170,S0018,DS11011,1,1,1,32,F,0.0,Fail
R000171,S0018,DS11023,1,1,1,61,B,3.0,Pass
R000172,S0018,DS11032,1,1,1,28,F,0.0,Fail
R000173,S0018,LC1133,1,1,1,53,C+,2.3,Pass
R000174,S0018,MF1122,1,1,1,51,C+,2.3,Pass
R000175,S0019,CS11012,1,1,1,82,A,4.0,Pass
R000176,S0019,CS11021,1,1,1,91,A+,4.0,Pass
R000177,S0019,CS11042,1,1,1,73,A-,3.7,Pass
R000178,S0019,DS11011,1,1,1,68,B+,3.3,Pass
R000179,S0019,DS11023,1,1,1,88,A+,4.0,Pass
R000180,S0019,DS11032,1,1,1,76,A,4.0,Pass
R000181,S0019,LC1133,1,1,1,71,A-,3.7,Pass
R000182,S0019,MF1122,1,1,1,78,A,4.0,Pass
R000183,S0020,CS11012,1,1,1,48,C,2.0,Pass
R000184,S0020,CS11021,1,1,1,62,B,3.0,Pass
R000185,S0020,CS11042,1,1,1,54,C+,2.3,Pass
R000186,S0020,DS11011,1,1,1,30,F,0.0,Fail
R000187,S0020,DS11023,1,1,1,56,B-,2.7,Pass
R000188,S0020,DS11032,1,1,1,49,C,2.0,Pass
R000189,S0020,LC1133,1,1,1,64,B,3.0,Pass
R000190,S0020,MF1122,1,1,1,50,C+,2.3,Pass
R000191,S0021,ITIC1113,1,1,1,88,A+,4.0,Pass
R000192,S0021,ITIC1123,1,1,1,82,A,4.0,Pass
R000193,S0021,ITIC1132,1,1,1,73,A-,3.7,Pass
R000194,S0021,ITIC1112,1,1,1,67,B+,3.3,Pass
R000195,S0021,ITIC1143,1,1,1,63,B,3.0,Pass
R000196,S0021,ITIC1152,1,1,1,58,B-,2.7,Pass
R000197,S0021,ITIC1172,1,1,1,52,C+,2.3,Pass
R000198,S0021,DL1112,1,1,1,80,A,4.0,Pass
R000199,S0022,ITIC1113,1,1,1,76,A,4.0,Pass
R000200,S0022,ITIC1123,1,1,1,72,A-,3.7,Pass
R000201,S0022,ITIC1132,1,1,1,68,B+,3.3,Pass
R000202,S0022,ITIC1112,1,1,1,62,B,3.0,Pass
R000203,S0022,ITIC1143,1,1,1,58,B-,2.7,Pass
R000204,S0022,ITIC1152,1,1,1,53,C+,2.3,Pass
R000205,S0022,ITIC1172,1,1,1,47,C,2.0,Pass
R000206,S0022,DL1112,1,1,1,78,A,4.0,Pass
R000207,S0023,ITIC1113,1,1,1,55,B-,2.7,Pass
R000208,S0023,ITIC1123,1,1,1,48,C,2.0,Pass
R000209,S0023,ITIC1132,1,1,1,42,C-,1.7,Pass
R000210,S0023,ITIC1112,1,1,1,34,F,0.0,Fail
R000211,S0023,ITIC1143,1,1,1,52,C+,2.3,Pass
R000212,S0023,ITIC1152,1,1,1,38,D+,1.3,Pass
R000213,S0023,ITIC1172,1,1,1,45,C,2.0,Pass
R000214,S0023,DL1112,1,1,1,70,A-,3.7,Pass
R000215,S0024,ITIC1113,1,1,1,92,A+,4.0,Pass
R000216,S0024,ITIC1123,1,1,1,85,A+,4.0,Pass
R000217,S0024,ITIC1132,1,1,1,78,A,4.0,Pass
R000218,S0024,ITIC1112,1,1,1,73,A-,3.7,Pass
R000219,S0024,ITIC1143,1,1,1,69,B+,3.3,Pass
R000220,S0024,ITIC1152,1,1,1,66,B+,3.3,Pass
R000221,S0024,ITIC1172,1,1,1,62,B,3.0,Pass
R000222,S0024,DL1112,1,1,1,90,A+,4.0,Pass
R000223,S0025,ITIC1113,1,1,1,72,A-,3.7,Pass
R000224,S0025,ITIC1123,1,1,1,67,B+,3.3,Pass
R000225,S0025,ITIC1132,1,1,1,64,B,3.0,Pass
R000226,S0025,ITIC1112,1,1,1,59,B-,2.7,Pass
R000227,S0025,ITIC1143,1,1,1,55,B-,2.7,Pass
R000228,S0025,ITIC1152,1,1,1,52,C+,2.3,Pass
R000229,S0025,ITIC1172,1,1,1,46,C,2.0,Pass
R000230,S0025,DL1112,1,1,1,75,A,4.0,Pass
R000231,S0026,CS11012,1,1,1,68,B+,3.3,Pass
R000232,S0026,CS11021,1,1,1,59,B-,2.7,Pass
R000233,S0026,CS11042,1,1,1,78,A,4.0,Pass
R000234,S0026,DS11011,1,1,1,77,A,4.0,Pass
R000235,S0026,DS11023,1,1,1,69,B+,3.3,Pass
R000236,S0026,DS11032,1,1,1,81,A,4.0,Pass
R000237,S0026,MF1122,1,1,1,73,A-,3.7,Pass
R000238,S0026,LC1133,1,1,1,55,B-,2.7,Pass
R000239,S0026,DS12013,1,2,1,72,A-,3.7,Pass
R000240,S0026,DS12022,1,2,1,58,B-,2.7,Pass
R000241,S0026,DS12033,1,2,1,78,A,4.0,Pass
R000242,S0026,CS12052,1,2,1,68,B+,3.3,Pass
R000243,S0026,DS12042,1,2,1,66,B+,3.3,Pass
R000244,S0026,MF1212,1,2,1,61,B,3.0,Pass
R000245,S0026,LC1243,1,2,1,82,A,4.0,Pass
R000246,S0026,DS21012,2,3,1,67,B+,3.3,Pass
R000247,S0026,DS21022,2,3,1,64,B,3.0,Pass
R000248,S0026,DS21033,2,3,1,64,B,3.0,Pass
R000249,S0026,CS21063,2,3,1,74,A-,3.7,Pass
R000250,S0026,DS21042,2,3,1,72,A-,3.7,Pass
R000251,S0026,MF2123,2,3,1,73,A-,3.7,Pass
R000252,S0026,LC2353,2,3,1,69,B+,3.3,Pass
R000253,S0026,DS22012,2,4,1,92,A+,4.0,Pass
R000254,S0026,CS22032,2,4,1,64,B,3.0,Pass
R000255,S0026,DS22023,2,4,1,63,B,3.0,Pass
R000256,S0026,MF2222,2,4,1,59,B-,2.7,Pass
R000257,S0026,DS22032,2,4,1,75,A,4.0,Pass
R000258,S0026,LC2463,2,4,1,77,A,4.0,Pass
R000259,S0026,CS31142,3,5,1,67,B+,3.3,Pass
R000260,S0026,CS31153,3,5,1,59,B-,2.7,Pass
R000261,S0026,DS31012,3,5,1,59,B-,2.7,Pass
R000262,S0026,CS31162,3,5,1,75,A,4.0,Pass
R000263,S0026,DS31023,3,5,1,77,A,4.0,Pass
R000264,S0026,DS31032,3,5,1,74,A-,3.7,Pass
R000265,S0026,DS31042,3,5,1,61,B,3.0,Pass
R000266,S0026,MF3113,3,5,1,71,A-,3.7,Pass
R000267,S0027,CS11012,1,1,1,75,A,4.0,Pass
R000268,S0027,CS11021,1,1,1,79,A,4.0,Pass
R000269,S0027,CS11032,1,1,1,56,B-,2.7,Pass
R000270,S0027,COE11013,1,1,1,69,B+,3.3,Pass
R000271,S0027,CS11042,1,1,1,67,B+,3.3,Pass
R000272,S0027,SE11012,1,1,1,65,B+,3.3,Pass
R000273,S0027,CM11033,1,1,1,69,B+,3.3,Pass
R000274,S0027,CM11102,1,1,1,89,A+,4.0,Pass
R000275,S0027,DL1132,1,1,1,59,B-,2.7,Pass
R000276,S0027,LS1052,1,1,1,79,A,4.0,Pass
R000277,S0027,CS12012,1,2,1,54,C+,2.3,Pass
R000278,S0027,CS12023,1,2,1,68,B+,3.3,Pass
R000279,S0027,CS12033,1,2,1,74,A-,3.7,Pass
R000280,S0027,CS12041,1,2,1,79,A,4.0,Pass
R000281,S0027,SE12012,1,2,1,80,A,4.0,Pass
R000282,S0027,CM12052,1,2,1,81,A,4.0,Pass
R000283,S0027,COE12241,1,2,1,68,B+,3.3,Pass
R000284,S0027,COE12992,1,2,1,67,B+,3.3,Pass
R000285,S0027,DL2142,1,2,1,78,A,4.0,Pass
R000286,S0027,CS21012,2,3,1,70,A-,3.7,Pass
R000287,S0027,CS21022,2,3,1,58,B-,2.7,Pass
R000288,S0027,CS21032,2,3,1,60,B,3.0,Pass
R000289,S0027,CS21042,2,3,1,62,B,3.0,Pass
R000290,S0027,CS21052,2,3,1,78,A,4.0,Pass
R000291,S0027,SE21012,2,3,1,74,A-,3.7,Pass
R000292,S0027,CM21032,2,3,1,80,A,4.0,Pass
R000293,S0027,CM21102,2,3,1,67,B+,3.3,Pass
R000294,S0027,MF2112,2,3,1,70,A-,3.7,Pass
R000295,S0027,DL3152,2,3,1,75,A,4.0,Pass
R000296,S0027,CS22012,2,4,1,69,B+,3.3,Pass
R000297,S0027,CS22023,2,4,1,77,A,4.0,Pass
R000298,S0027,CS22993,2,4,1,65,B+,3.3,Pass
R000299,S0027,SE22013,2,4,1,68,B+,3.3,Pass
R000300,S0027,SE22022,2,4,1,68,B+,3.3,Pass
R000301,S0027,COE22032,2,4,1,59,B-,2.7,Pass
R000302,S0027,CM22112,2,4,1,78,A,4.0,Pass
R000303,S0027,DL4162,2,4,1,63,B,3.0,Pass
R000304,S0027,CS31082,3,5,1,72,A-,3.7,Pass
R000305,S0027,CS31092,3,5,1,77,A,4.0,Pass
R000306,S0027,CS31102,3,5,1,77,A,4.0,Pass
R000307,S0027,CS31112,3,5,1,79,A,4.0,Pass
R000308,S0027,CS31122,3,5,1,71,A-,3.7,Pass
R000309,S0027,CS31132,3,5,1,68,B+,3.3,Pass
R000310,S0027,CS31022,3,5,1,71,A-,3.7,Pass
R000311,S0027,CS31032,3,5,1,54,C+,2.3,Pass
R000312,S0027,CS31042,3,5,1,56,B-,2.7,Pass
R000313,S0027,CS31062,3,5,1,58,B-,2.7,Pass
R000314,S0027,CS31012,3,5,1,57,B-,2.7,Pass
R000315,S0027,COE31052,3,5,1,77,A,4.0,Pass
R000316,S0027,CS31072,3,5,1,62,B,3.0,Pass
R000317,S0027,CS32012,3,6,1,68,B+,3.3,Pass
R000318,S0027,CS32022,3,6,1,86,A+,4.0,Pass
R000319,S0027,CS32032,3,6,1,68,B+,3.3,Pass
R000320,S0027,CS32042,3,6,1,80,A,4.0,Pass
R000321,S0027,CS32082,3,6,1,62,B,3.0,Pass
R000322,S0027,CS32092,3,6,1,70,A-,3.7,Pass
R000323,S0027,CS32992,3,6,1,62,B,3.0,Pass
R000324,S0027,CM32013,3,6,1,68,B+,3.3,Pass
R000325,S0027,CM32051,3,6,1,81,A,4.0,Pass
R000326,S0027,CS32062,3,6,1,53,C+,2.3,Pass
R000327,S0027,CS32102,3,6,1,77,A,4.0,Pass
R000328,S0027,CS32112,3,6,1,75,A,4.0,Pass
R000329,S0027,IT32262,3,6,1,66,B+,3.3,Pass
R000330,S0028,ITIC1113,1,1,1,58,B-,2.7,Pass
R000331,S0028,ITIC1123,1,1,1,71,A-,3.7,Pass
R000332,S0028,ITIC1132,1,1,1,72,A-,3.7,Pass
R000333,S0028,ITIC1112,1,1,1,84,A,4.0,Pass
R000334,S0028,ITIC1143,1,1,1,78,A,4.0,Pass
R000335,S0028,ITIC1152,1,1,1,73,A-,3.7,Pass
R000336,S0028,ITIC1172,1,1,1,85,A+,4.0,Pass
R000337,S0028,DL1112,1,1,1,52,C+,2.3,Pass
R000338,S0028,ITIC1213,1,2,1,62,B,3.0,Pass
R000339,S0028,ITIC1223,1,2,1,59,B-,2.7,Pass
R000340,S0028,ITIC1233,1,2,1,65,B+,3.3,Pass
R000341,S0028,ITIC1243,1,2,1,54,C+,2.3,Pass
R000342,S0028,ITIC1212,1,2,1,76,A,4.0,Pass
R000343,S0028,ITIC1282,1,2,1,67,B+,3.3,Pass
R000344,S0028,ITIC1272,1,2,1,49,C,2.0,Pass
R000345,S0028,LC1211,1,2,1,54,C+,2.3,Pass
R000346,S0028,DL1211,1,2,1,69,B+,3.3,Pass
R000347,S0028,ITIC2113,2,3,1,78,A,4.0,Pass
R000348,S0028,ITIC2123,2,3,1,91,A+,4.0,Pass
R000349,S0028,ITIC2133,2,3,1,98,A+,4.0,Pass
R000350,S0028,ITIC2143,2,3,1,74,A-,3.7,Pass
R000351,S0028,ITIC2153,2,3,1,58,B-,2.7,Pass
R000352,S0028,ITIC2112,2,3,1,46,C,2.0,Pass
R000353,S0028,ITIC2162,2,3,1,72,A-,3.7,Pass
R000354,S0028,LC2111,2,3,1,56,B-,2.7,Pass
R000355,S0028,DL2111,2,3,1,61,B,3.0,Pass
R000356,S0028,ITIC2212,2,4,1,62,B,3.0,Pass
R000357,S0028,ITIC2223,2,4,1,68,B+,3.3,Pass
R000358,S0028,ITIC2232,2,4,1,81,A,4.0,Pass
R000359,S0028,ITIC2243,2,4,1,71,A-,3.7,Pass
R000360,S0028,ITIC2252,2,4,1,67,B+,3.3,Pass
R000361,S0028,ITIC2262,2,4,1,58,B-,2.7,Pass
R000362,S0028,ITIC2272,2,4,1,51,C+,2.3,Pass
R000363,S0028,ITIC2282,2,4,1,60,B,3.0,Pass
R000364,S0028,TETE2211,2,4,1,65,B+,3.3,Pass
R000365,S0028,TETE2221,2,4,1,85,A+,4.0,Pass
R000366,S0028,LC2211,2,4,1,67,B+,3.3,Pass
R000367,S0028,DL2211,2,4,1,76,A,4.0,Pass
R000368,S0028,ITIC3112,3,5,1,64,B,3.0,Pass
R000369,S0028,ITIC3123,3,5,1,56,B-,2.7,Pass
R000370,S0028,ITIC3132,3,5,1,58,B-,2.7,Pass
R000371,S0028,ITIC3142,3,5,1,61,B,3.0,Pass
R000372,S0028,ITIC3152,3,5,1,93,A+,4.0,Pass
R000373,S0028,ITIC3163,3,5,1,60,B,3.0,Pass
R000374,S0028,TETE3112,3,5,1,74,A-,3.7,Pass
R000375,S0028,TETE3122,3,5,1,55,B-,2.7,Pass
R000376,S0028,LC3111,3,5,1,75,A,4.0,Pass
R000377,S0028,DL3111,3,5,1,69,B+,3.3,Pass
R000378,S0028,ITIC3216,3,6,1,67,B+,3.3,Pass
R000379,S0029,CS11012,1,1,1,61,B,3.0,Pass
R000380,S0029,CS11021,1,1,1,76,A,4.0,Pass
R000381,S0029,CS11032,1,1,1,60,B,3.0,Pass
R000382,S0029,COE11013,1,1,1,57,B-,2.7,Pass
R000383,S0029,CS11042,1,1,1,62,B,3.0,Pass
R000384,S0029,SE11012,1,1,1,73,A-,3.7,Pass
R000385,S0029,CM11033,1,1,1,61,B,3.0,Pass
R000386,S0029,CM11102,1,1,1,54,C+,2.3,Pass
R000387,S0029,DL1132,1,1,1,67,B+,3.3,Pass
R000388,S0029,LS1052,1,1,1,59,B-,2.7,Pass
R000389,S0030,CS11012,1,1,1,65,B+,3.3,Pass
R000390,S0030,CS11021,1,1,1,86,A+,4.0,Pass
R000391,S0030,CS11042,1,1,1,58,B-,2.7,Pass
R000392,S0030,DS11011,1,1,1,60,B,3.0,Pass
R000393,S0030,DS11023,1,1,1,77,A,4.0,Pass
R000394,S0030,DS11032,1,1,1,65,B+,3.3,Pass
R000395,S0030,MF1122,1,1,1,70,A-,3.7,Pass
R000396,S0030,LC1133,1,1,1,64,B,3.0,Pass
R000397,S0030,DS12013,1,2,1,73,A-,3.7,Pass
R000398,S0030,DS12022,1,2,1,85,A+,4.0,Pass
R000399,S0030,DS12033,1,2,1,71,A-,3.7,Pass
R000400,S0030,CS12052,1,2,1,77,A,4.0,Pass
R000401,S0030,DS12042,1,2,1,47,C,2.0,Pass
R000402,S0030,MF1212,1,2,1,69,B+,3.3,Pass
R000403,S0030,LC1243,1,2,1,60,B,3.0,Pass
R000404,S0030,DS21012,2,3,1,56,B-,2.7,Pass
R000405,S0030,DS21022,2,3,1,60,B,3.0,Pass
R000406,S0030,DS21033,2,3,1,66,B+,3.3,Pass
R000407,S0030,CS21063,2,3,1,80,A,4.0,Pass
R000408,S0030,DS21042,2,3,1,55,B-,2.7,Pass
R000409,S0030,MF2123,2,3,1,70,A-,3.7,Pass
R000410,S0030,LC2353,2,3,1,60,B,3.0,Pass
R000411,S0030,DS22012,2,4,1,66,B+,3.3,Pass
R000412,S0030,CS22032,2,4,1,81,A,4.0,Pass
R000413,S0030,DS22023,2,4,1,76,A,4.0,Pass
R000414,S0030,MF2222,2,4,1,84,A,4.0,Pass
R000415,S0030,DS22032,2,4,1,68,B+,3.3,Pass
R000416,S0030,LC2463,2,4,1,58,B-,2.7,Pass
R000417,S0030,CS31142,3,5,1,67,B+,3.3,Pass
R000418,S0030,CS31153,3,5,1,72,A-,3.7,Pass
R000419,S0030,DS31012,3,5,1,72,A-,3.7,Pass
R000420,S0030,CS31162,3,5,1,58,B-,2.7,Pass
R000421,S0030,DS31023,3,5,1,71,A-,3.7,Pass
R000422,S0030,DS31032,3,5,1,72,A-,3.7,Pass
R000423,S0030,DS31042,3,5,1,97,A+,4.0,Pass
R000424,S0030,MF3113,3,5,1,90,A+,4.0,Pass
R000425,S0030,DS32013,3,6,1,60,B,3.0,Pass
R000426,S0030,DS32023,3,6,1,67,B+,3.3,Pass
R000427,S0030,DS32993,3,6,1,54,C+,2.3,Pass
R000428,S0030,MF3212,3,6,1,63,B,3.0,Pass
R000429,S0030,CS32122,3,6,1,73,A-,3.7,Pass
R000430,S0030,CS32132,3,6,1,83,A,4.0,Pass
R000431,S0030,CS32143,3,6,1,62,B,3.0,Pass
R000432,S0030,LC3673,3,6,1,63,B,3.0,Pass
R000433,S0030,CS41172,4,7,1,46,C,2.0,Pass
R000434,S0030,DS41012,4,7,1,68,B+,3.3,Pass
R000435,S0030,SE41052,4,7,1,58,B-,2.7,Pass
