Degree_Module_ID,Degree_ID,Course_Code,Module_Type
DM219,D003,CS32062,Elective
DM220,D003,CS32112,Elective
DM221,D003,CS32092,Elective
DM222,D001,SE4012,Core
DM223,D001,SE4022,Core
DM224,D001,SE4042,Core
DM225,D001,CS4012,Core
DM226,D001,CS4022,Elective
DM227,D001,CS4032,Elective
DM228,D001,CS4042,Elective
DM229,D001,CS4062,Elective
DM230,D002,CS4012,Core
DM231,D002,CS4022,Core
DM232,D002,CS4032,Core
DM233,D002,CS4042,Core
DM234,D002,SE4042,Core
DM235,D002,CS4062,Elective
DM236,D002,COE4022,Elective
DM237,D002,COE4042,Elective
DM238,D002,SE4012,Elective
DM239,D003,COE4012,Core
DM240,D003,COE4033,Core
DM241,D003,CS4022,Elective
DM242,D003,CS4032,Elective
DM243,D003,CS4042,Elective
DM244,D003,SE4042,Elective
DM245,D003,CS4062,Elective
DM246,D003,CS4092,Elective
DM247,D003,COE4022,Core
DM248,D003,COE4042,Elective
DM249,D001,SE42999,Core
DM250,D001,SE42986,Core
DM251,D002,CS42999,Core
DM252,D002,CS42986,Core
DM253,D003,COE42999,Core
DM254,D003,COE42986,Core
DM255,D004,CS31142,Core
DM256,D004,CS31153,Core
DM257,D004,DS31012,Core
DM258,D004,CS31162,Core
DM259,D004,DS31023,Core
DM260,D004,DS31032,Core
DM261,D004,DS31042,Core
DM262,D004,MF3113,Core
DM263,D004,DS32013,Core
DM264,D004,DS32023,Core
DM265,D004,DS32993,Core
DM266,D004,MF3212,Core
DM267,D004,CS32122,Core
DM268,D004,CS32132,Core
DM269,D004,CS32143,Core
DM270,D004,LC3673,Core
DM271,D004,CS41172,Core
DM272,D004,DS41012,Core
DM273,D004,SE41052,Core
DM274,D004,CS41142,Core
DM275,D004,CS41052,Elective
DM276,D004,DS41022,Elective
DM277,D004,DS41032,Elective
DM278,D004,CS41182,Elective
DM279,D004,MF4122,Core
DM280,D004,CS41152,Elective
DM281,D004,DS42999,Core
DM282,D004,DS42986,Core
DM283,D005,ITIC1113,Core
DM284,D005,ITIC1123,Core
DM285,D005,ITIC1132,Core
DM286,D005,ITIC1112,Core
DM287,D005,ITIC1143,Core
DM288,D005,ITIC1152,Core
DM289,D005,ITIC1172,Core
DM290,D005,DL1112,Core
DM291,D005,ITIC1213,Core
DM292,D005,ITIC1223,Core
DM293,D005,ITIC1233,Core
DM294,D005,ITIC1243,Core
DM295,D005,ITIC1212,Core
DM296,D005,ITIC1282,Core
DM297,D005,ITIC1272,Core
DM298,D005,LC1211,Core
DM299,D005,DL1211,Core
DM300,D005,ITIC2113,Core
DM301,D005,ITIC2123,Core
DM302,D005,ITIC2133,Core
DM303,D005,ITIC2143,Core
DM304,D005,ITIC2153,Core
DM305,D005,ITIC2112,Core
DM306,D005,ITIC2162,Core
DM307,D005,LC2111,Core
DM308,D005,DL2111,Core
DM309,D005,ITIC2212,Core
DM310,D005,ITIC2223,Core
DM311,D005,ITIC2232,Core
DM312,D005,ITIC2243,Core
DM313,D005,ITIC2252,Core
DM314,D005,ITIC2262,Core
DM315,D005,ITIC2272,Core
DM316,D005,ITIC2282,Core
DM317,D005,TETE2211,Elective
DM318,D005,TETE2221,Elective
DM319,D005,LC2211,Core
DM320,D005,DL2211,Core
DM321,D005,ITIC3112,Core
DM322,D005,ITIC3123,Core
DM323,D005,ITIC3132,Core
DM324,D005,ITIC3142,Core
DM325,D005,ITIC3152,Core
DM326,D005,ITIC3163,Core
DM327,D005,TETE3112,Elective
DM328,D005,TETE3122,Elective
DM329,D005,LC3111,Core
DM330,D005,DL3111,Core
DM331,D005,ITIC3216,Core
DM332,D005,ITIC4113,Core
DM333,D005,ITIC4122,Core
DM334,D005,ITIC4132,Core
DM335,D005,ITIC4143,Core
DM336,D005,ITIC4152,Core
DM337,D005,ITIE4113,Elective
DM338,D005,ITIE4123,Elective
DM339,D005,ITIE4133,Elective
DM340,D005,ITIE4143,Elective
DM341,D005,ITIC4212,Core
DM342,D005,ITIC4223,Core
DM343,D005,ITIC4233,Core
DM344,D005,ITIC4246,Core
DM345,D005,ITIC4252,Core

