Result_ID,Student_ID,Course_Code,Academic_Year,Semester,Attempt,Marks,Grade,Grade_Point,Result_Status
R000107,S0011,CS11042,1,1,1,77,A,4.0,Pass
R000108,S0011,DL1132,1,1,1,67,B+,3.3,Pass
R000109,S0011,LS1052,1,1,1,89,A+,4.0,Pass
R000110,S0011,SE11012,1,1,1,83,A,4.0,Pass
R000111,S0012,CM11033,1,1,1,77,A,4.0,Pass
R000112,S0012,CM11102,1,1,1,67,B+,3.3,Pass
R000113,S0012,COE11013,1,1,1,77,A,4.0,Pass
R000114,S0012,CS11012,1,1,1,68,B+,3.3,Pass
R000115,S0012,CS11021,1,1,1,69,B+,3.3,Pass
R000116,S0012,CS11032,1,1,1,82,A,4.0,Pass
R000117,S0012,CS11042,1,1,1,81,A,4.0,Pass
R000118,S0012,DL1132,1,1,1,72,A-,3.7,Pass
R000119,S0012,LS1052,1,1,1,75,A,4.0,Pass
R000120,S0012,SE11012,1,1,1,82,A,4.0,Pass
R000121,S0013,CM11033,1,1,1,89,A+,4.0,Pass
R000122,S0013,CM11102,1,1,1,81,A,4.0,Pass
R000123,S0013,COE11013,1,1,1,50,C+,2.3,Pass
R000124,S0013,CS11012,1,1,1,48,C,2.0,Pass
R000125,S0013,CS11021,1,1,1,62,B,3.0,Pass
R000126,S0013,CS11032,1,1,1,35,D+,1.3,Pass
R000127,S0013,CS11042,1,1,1,58,B-,2.7,Pass
R000128,S0013,DL1132,1,1,1,47,C,2.0,Pass
R000129,S0013,LS1052,1,1,1,52,C+,2.3,Pass
R000130,S0013,SE11012,1,1,1,59,B-,2.7,Pass
R000131,S0014,CM11033,1,1,1,89,A+,4.0,Pass
R000132,S0014,CM11102,1,1,1,81,A,4.0,Pass
R000133,S0014,COE11013,1,1,1,62,B,3.0,Pass
R000134,S0014,CS11012,1,1,1,68,B+,3.3,Pass
R000135,S0014,CS11021,1,1,1,76,A,4.0,Pass
R000136,S0014,CS11032,1,1,1,72,A-,3.7,Pass
R000137,S0014,CS11042,1,1,1,69,B+,3.3,Pass
R000138,S0014,DL1132,1,1,1,64,B,3.0,Pass
R000139,S0014,LS1052,1,1,1,82,A,4.0,Pass
R000140,S0014,SE11012,1,1,1,74,A-,3.7,Pass
R000141,S0015,CM11033,1,1,1,73,A-,3.7,Pass
R000142,S0015,CM11102,1,1,1,66,B+,3.3,Pass
R000143,S0015,COE11013,1,1,1,57,B-,2.7,Pass
R000144,S0015,CS11012,1,1,1,52,C+,2.3,Pass
R000145,S0015,CS11021,1,1,1,35,D+,1.3,Pass
R000146,S0015,CS11032,1,1,1,64,B,3.0,Pass
R000147,S0015,CS11042,1,1,1,48,C,2.0,Pass
R000148,S0015,DL1132,1,1,1,66,B+,3.3,Pass
R000149,S0015,LS1052,1,1,1,77,A,4.0,Pass
R000150,S0015,SE11012,1,1,1,72,A-,3.7,Pass
R000151,S0016,CS11012,1,1,1,47,C,2.0,Pass
R000152,S0016,CS11021,1,1,1,52,C+,2.3,Pass
R000153,S0016,CS11042,1,1,1,46,C,2.0,Pass
R000154,S0016,DS11011,1,1,1,37,D+,1.3,Pass
R000155,S0016,DS11023,1,1,1,68,B+,3.3,Pass
R000156,S0016,DS11032,1,1,1,66,B+,3.3,Pass
R000157,S0016,LC1133,1,1,1,48,C,2.0,Pass
R000158,S0016,MF1122,1,1,1,45,C,2.0,Pass
R000159,S0017,CS11012,1,1,1,81,A,4.0,Pass
R000160,S0017,CS11021,1,1,1,79,A,4.0,Pass
R000161,S0017,CS11042,1,1,1,83,A,4.0,Pass
R000162,S0017,DS11011,1,1,1,58,B-,2.7,Pass
R000163,S0017,DS11023,1,1,1,92,A+,4.0,Pass
R000164,S0017,DS11032,1,1,1,77,A,4.0,Pass
R000165,S0017,LC1133,1,1,1,67,B+,3.3,Pass
R000166,S0017,MF1122,1,1,1,80,A,4.0,Pass
R000167,S0018,CS11012,1,1,1,46,C,2.0,Pass
R000168,S0018,CS11021,1,1,1,69,B+,3.3,Pass
R000169,S0018,CS11042,1,1,1,63,B,3.0,Pass
R000170,S0018,DS11011,1,1,1,32,F,0.0,Fail
R000171,S0018,DS11023,1,1,1,61,B,3.0,Pass
R000172,S0018,DS11032,1,1,1,28,F,0.0,Fail
R000173,S0018,LC1133,1,1,1,53,C+,2.3,Pass
R000174,S0018,MF1122,1,1,1,51,C+,2.3,Pass
R000175,S0019,CS11012,1,1,1,82,A,4.0,Pass
R000176,S0019,CS11021,1,1,1,91,A+,4.0,Pass
R000177,S0019,CS11042,1,1,1,73,A-,3.7,Pass
R000178,S0019,DS11011,1,1,1,68,B+,3.3,Pass
R000179,S0019,DS11023,1,1,1,88,A+,4.0,Pass
R000180,S0019,DS11032,1,1,1,76,A,4.0,Pass
R000181,S0019,LC1133,1,1,1,71,A-,3.7,Pass
R000182,S0019,MF1122,1,1,1,78,A,4.0,Pass
R000183,S0020,CS11012,1,1,1,48,C,2.0,Pass
R000184,S0020,CS11021,1,1,1,62,B,3.0,Pass
R000185,S0020,CS11042,1,1,1,54,C+,2.3,Pass
R000186,S0020,DS11011,1,1,1,30,F,0.0,Fail
R000187,S0020,DS11023,1,1,1,56,B-,2.7,Pass
R000188,S0020,DS11032,1,1,1,49,C,2.0,Pass
R000189,S0020,LC1133,1,1,1,64,B,3.0,Pass
R000190,S0020,MF1122,1,1,1,50,C+,2.3,Pass
R000191,S0021,ITIC1113,1,1,1,88,A+,4.0,Pass
R000192,S0021,ITIC1123,1,1,1,82,A,4.0,Pass
R000193,S0021,ITIC1132,1,1,1,73,A-,3.7,Pass
R000194,S0021,ITIC1112,1,1,1,67,B+,3.3,Pass
R000195,S0021,ITIC1143,1,1,1,63,B,3.0,Pass
R000196,S0021,ITIC1152,1,1,1,58,B-,2.7,Pass
R000197,S0021,ITIC1172,1,1,1,52,C+,2.3,Pass
R000198,S0021,DL1112,1,1,1,80,A,4.0,Pass
R000199,S0022,ITIC1113,1,1,1,76,A,4.0,Pass
R000200,S0022,ITIC1123,1,1,1,72,A-,3.7,Pass
R000201,S0022,ITIC1132,1,1,1,68,B+,3.3,Pass
R000202,S0022,ITIC1112,1,1,1,62,B,3.0,Pass
R000203,S0022,ITIC1143,1,1,1,58,B-,2.7,Pass
R000204,S0022,ITIC1152,1,1,1,53,C+,2.3,Pass
R000205,S0022,ITIC1172,1,1,1,47,C,2.0,Pass
R000206,S0022,DL1112,1,1,1,78,A,4.0,Pass
R000207,S0023,ITIC1113,1,1,1,55,B-,2.7,Pass
R000208,S0023,ITIC1123,1,1,1,48,C,2.0,Pass
R000209,S0023,ITIC1132,1,1,1,42,C-,1.7,Pass
R000210,S0023,ITIC1112,1,1,1,34,F,0.0,Fail
R000211,S0023,ITIC1143,1,1,1,52,C+,2.3,Pass
R000212,S0023,ITIC1152,1,1,1,38,D+,1.3,Pass
R000213,S0023,ITIC1172,1,1,1,45,C,2.0,Pass
R000214,S0023,DL1112,1,1,1,70,A-,3.7,Pass
R000215,S0024,ITIC1113,1,1,1,92,A+,4.0,Pass
R000216,S0024,ITIC1123,1,1,1,85,A+,4.0,Pass
R000217,S0024,ITIC1132,1,1,1,78,A,4.0,Pass
R000218,S0024,ITIC1112,1,1,1,73,A-,3.7,Pass
R000219,S0024,ITIC1143,1,1,1,69,B+,3.3,Pass
R000220,S0024,ITIC1152,1,1,1,66,B+,3.3,Pass
R000221,S0024,ITIC1172,1,1,1,62,B,3.0,Pass
R000222,S0024,DL1112,1,1,1,90,A+,4.0,Pass
R000223,S0025,ITIC1113,1,1,1,72,A-,3.7,Pass
R000224,S0025,ITIC1123,1,1,1,67,B+,3.3,Pass
R000225,S0025,ITIC1132,1,1,1,64,B,3.0,Pass
R000226,S0025,ITIC1112,1,1,1,59,B-,2.7,Pass
R000227,S0025,ITIC1143,1,1,1,55,B-,2.7,Pass
R000228,S0025,ITIC1152,1,1,1,52,C+,2.3,Pass
R000229,S0025,ITIC1172,1,1,1,46,C,2.0,Pass
R000230,S0025,DL1112,1,1,1,75,A,4.0,Pass
